2	Ivysaur	f	1	Grass	Poison	62	63	60	60	80	80	Overgrow	
3	Venusaur	f	1	Grass	Poison	82	83	80	80	100	100	Overgrow	
4	Charmander	f	1	Fire		52	43	39	65	60	50	Blaze	
5	Charmeleon	f	1	Fire		64	58	58	80	80	65	Blaze	
7	Squirtle	f	1	Water		48	65	44	43	50	64	Torrent	
8	Wartortle	f	1	Water		63	80	59	58	65	80	Torrent	
9	Blastoise	f	1	Water		83	100	79	78	85	105	Torrent	
10	Caterpie	f	1	Bug		30	35	45	45	20	20	Shield Dust	
11	Metapod	f	1	Bug		20	55	50	30	25	25	Shed Skin	
12	Butterfree	f	1	Bug	Flying	45	50	60	70	90	80	Compound Eyes	
13	Weedle	f	1	Bug	Poison	35	30	40	50	20	20	Shield Dust	
14	Kakuna	f	1	Bug	Poison	25	50	45	35	25	25	Shed Skin	Shed Skin
15	Beedrill	f	1	Bug	Poison	90	40	65	75	45	80	Swarm	Swarm
16	Pidgey	f	1	Normal	Flying	45	40	40	56	35	35	Keen Eye	Tangled Feet
17	Pidgeotto	f	1	Normal	Flying	60	55	63	71	50	50	Keen Eye	Tangled Feet
18	Pidgeot	f	1	Normal	Flying	80	75	83	101	70	70	Keen Eye	Tangled Feet
19	Rattata	f	1	Normal		56	35	30	72	25	35	Run Away	Guts
20	Raticate	f	1	Normal		81	60	55	97	50	70	Run Away	Guts
21	Spearow	f	1	Normal	Flying	60	30	40	70	31	31	Keen Eye	Keen Eye
22	Fearow	f	1	Normal	Flying	90	65	65	100	61	61	Keen Eye	Keen Eye
23	Ekans	f	1	Poison		60	44	35	55	40	54	Intimidate	Shed Skin
24	Arbok	f	1	Poison		95	69	60	80	65	79	Intimidate	Shed Skin
25	Pikachu	f	1	Electric		55	40	35	90	50	50	Static	Static
26	Raichu	f	1	Electric		90	55	60	110	90	80	Static	Static
27	Sandshrew	f	1	Ground		75	85	50	40	20	30	Sand Veil	
28	Sandslash	f	1	Ground		100	110	75	65	45	55	Sand Veil	
29	Nidorana	f	1	Poison		47	52	55	41	40	40	Poison Point	Rivalry
30	Nidorina	f	1	Poison		62	67	70	56	55	55	Poison Point	Rivalry
31	Nidoqueen	f	1	Poison	Ground	92	87	90	76	75	85	Poison Point	Rivalry
32	Nidorano	f	1	Poison		57	40	46	50	40	40	Poison Point	Rivalry
33	Nidorino	f	1	Poison		72	57	61	65	55	55	Poison Point	Rivalry
34	Nidoking	f	1	Poison	Ground	102	77	81	85	85	75	Poison Point	Rivalry
35	Clefairy	f	1	Fairy		45	48	70	35	60	65	Cute Charm	Magic Guard
36	Clefable	f	1	Fairy		70	73	95	60	95	90	Cute Charm	Magic Guard
37	Vulpix	f	1	Fire		41	40	38	65	50	65	Flash Fire	
38	Ninetales	f	1	Fire		76	75	73	100	81	100	Flash Fire	
39	Jigglypuff	f	1	Normal	Fairy	45	20	115	20	45	25	Cute Charm	Competitive
40	Wigglytuff	f	1	Normal	Fairy	70	45	140	45	85	50	Cute Charm	Competitive
41	Zubat	f	1	Poison	Flying	45	35	40	55	30	40	Inner Focus	
42	Golbat	f	1	Poison	Flying	80	70	75	90	65	75	Inner Focus	
43	Oddish	f	1	Grass	Poison	50	55	45	30	75	65	Chlorophyll	
44	Gloom	f	1	Grass	Poison	65	70	60	40	85	75	Chlorophyll	
45	Vileplume	f	1	Grass	Poison	80	85	75	50	110	90	Chlorophyll	
46	Paras	f	1	Bug	Grass	70	55	35	25	45	55	Effect Spore	Dry Skin
47	Parasect	f	1	Bug	Grass	95	80	60	30	60	80	Effect Spore	Dry Skin
48	Venonat	f	1	Bug	Poison	55	50	60	45	40	55	Compound Eyes	Tinted Lens
49	Venomoth	f	1	Bug	Poison	65	60	70	90	90	75	Shield Dust	Tinted Lens
50	Diglett	f	1	Ground		55	25	10	95	35	45	Sand Veil	Arena Trap
51	Dugtrio	f	1	Ground		100	50	35	120	50	70	Sand Veil	Arena Trap
52	Meowth	f	1	Normal		45	35	40	90	40	40	Pickup	Technician
53	Persian	f	1	Normal		70	60	65	115	65	65	Limber	Technician
54	Psyduck	f	1	Water		52	48	50	55	65	50	Damp	Cloud Nine
55	Golduck	f	1	Water		82	78	80	85	95	80	Damp	Cloud Nine
